File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,4,Burst,Other,0.23609999999999687,8,0.020657142857142857,-45.0809,10.184363,-57.166,37.589,4.901059,26.536127,-10.646689,-56.71181,24081.488,-159174.0,267689.0,1.1279943,29.573284
cell104basal.abf,4,Burst,Other,0.4220000000000006,11,0.031970000000000005,-46.625416,9.3377,-57.791,37.308,5.2089863,31.854347,-19.683783,-25.419447,20639.316,-164802.0,273325.0,1.2924179,40.63646
cell104basal.abf,4,Non-burst,Non-burst,1.1782999999999992,0,0.0,-64.303825,4.250555,-67.423,31.523,5.299706,71.24759,-75.77203,5.5474505,5851.932,-133216.0,409985.03,29.767862,2221.7434
cell104basal.abf,4,Non-burst,Non-burst,1.7188999999999997,0,0.0,-64.47812,4.039956,-68.83,22.297,4.4107566,53.39069,-110.833206,-5.3490806,4522.2583,-119148.0,312100.0,18.315825,1525.6726
cell104basal.abf,4,Non-burst,Non-burst,0.8621999999999996,0,0.0,-62.981445,5.3175006,-67.861,38.872,4.0611663,48.014027,-54.312057,16.830194,6372.1577,-122277.01,366200.0,23.301579,1423.7216
cell104basal.abf,4,Non-burst,Non-burst,6.860200000000001,0,0.0,-66.39195,1.9313521,-68.518,39.716,12.096959,386.60944,-455.47208,1.6502434,3713.4727,-137911.0,413734.0,21.98123,2571.781
cell104basal.abf,4,Non-burst,Non-burst,2.0307999999999993,0,0.0,-65.409325,2.9039516,-68.142,25.893,9.15329,187.0559,-132.83536,-4.8663025,4472.2456,-127276.01,337740.03,19.516836,1806.7925
cell104basal.abf,4,Non-burst,Non-burst,0.6463999999999999,0,0.0,-62.47736,4.863816,-67.298,37.589,6.269418,90.9179,-40.394756,18.915533,7006.303,-126028.01,327110.0,17.925396,927.36676
cell104basal.abf,4,Non-burst,Non-burst,0.6400000000000006,0,0.0,-63.440372,4.7269144,-67.673,25.737,4.869884,59.439964,-40.603466,-29.517757,5995.983,-129782.016,261746.02,10.105665,731.9034
cell104basal.abf,4,Non-burst,Non-burst,0.00280000000000058,0,0.0,-39.188625,25.877201,-56.071,26.581,1.5905836,1.0192876,-0.112428896,-27687.143,44530.316,-130718.01,7509.9946,-1.1590515,-0.22138977
cell104basal.abf,5,Non-burst,Non-burst,11.0165,0,0.0,-65.85357,2.2474446,-69.925,41.217,2.919662,59.390182,-725.4812,9.39037,3326.1648,-10009.995,366825.0,18.127005,1771.2632
cell104basal.abf,5,Burst,Other,0.49599999999999866,18,0.026805882352941176,-45.219494,10.141856,-57.729,41.217,4.8308697,26.160479,-22.431911,-43.575317,24078.668,-188886.98,247368.0,0.9906968,28.914864
cell104basal.abf,5,Non-burst,Non-burst,9.987400000000001,0,0.0,-66.36339,1.6868252,-68.611,24.08,9.81522,271.34592,-662.80225,-8.970902,3090.7993,-120716.0,10630.036,-2.413106,85.69569
cell104basal.abf,6,Non-burst,Non-burst,0.4083,0,0.0,-62.673336,3.7360187,-65.641,38.09,8.478272,172.65915,-25.594456,251.91037,7524.732,-9700.013,291770.03,28.851076,1031.0454
cell104basal.abf,6,Burst,Other,0.9392999999999999,26,0.035616,-46.400772,9.162523,-57.353,38.09,4.99718,29.954052,-43.5869,-24.607132,19957.852,-165427.0,224539.0,1.193139,37.41219
cell104basal.abf,6,Burst,Other,1.1296999999999997,33,0.033118749999999995,-45.755245,9.090241,-56.916,38.684,5.247812,31.454597,-51.697437,-12.539612,20440.89,-167618.31,240174.02,1.2511495,35.699486
cell104basal.abf,6,Burst,Other,0.2347999999999999,6,0.03236,-46.248737,9.344288,-56.04,34.618,5.4841638,33.794777,-10.86681,-40.88586,21793.604,-148856.0,255499.0,1.6107731,38.423317
cell104basal.abf,6,Burst,Other,0.7163000000000004,22,0.03100952380952381,-45.51802,9.305444,-57.26,37.589,5.126683,29.585442,-32.61224,-17.506632,20840.703,-161050.0,278008.0,1.1734884,34.540485
cell104basal.abf,6,Burst,Other,0.2237000000000009,6,0.01832,-45.88265,9.566563,-56.509,34.681,5.118861,30.052742,-10.271574,-38.444344,21778.062,-150737.0,217971.0,1.2848092,34.597466
