File_Name,Sweep,Segment_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,6,Non-burst,0.9664999999999981,-59.53972,3.8932827,-64.108,32.336,6.049336,107.19429,-57.548008
cell104basal.abf,6,Non-burst,4.318200000000001,-63.609283,1.964236,-66.454,26.081,9.524326,291.66156,-274.68207
cell104basal.abf,7,Non-burst,0.1502,-60.466187,5.128901,-64.921,37.589,7.293689,115.713684,-9.086712
cell104basal.abf,7,Burst,1.1753999999999998,-47.274067,8.73145,-56.259,37.589,5.1637,32.95036,-55.569065
cell104basal.abf,7,Burst,1.3525999999999998,-47.131348,8.038237,-56.634,37.183,5.902933,41.48324,-63.75778
cell104basal.abf,7,Burst,0.37870000000000026,-44.235027,9.983066,-56.134,36.808,4.5886216,23.40986,-16.759274
cell104basal.abf,7,Burst,0.6871999999999989,-45.16558,9.562037,-58.479,37.433,4.798556,26.189291,-31.04084
cell104basal.abf,7,Burst,0.34380000000000166,-42.982716,10.718569,-56.259,38.215,4.203442,19.11997,-14.78482
cell104basal.abf,7,Non-burst,2.3645000000000005,-61.963825,3.3788164,-66.641,37.183,5.00244,104.00179,-146.5228
cell104basal.abf,7,Non-burst,2.0163,-62.744823,3.041279,-66.204,36.808,9.007568,215.79305,-126.52185
cell104basal.abf,7,Non-burst,5.1969,-62.894085,2.8050873,-66.798,37.433,5.109656,100.958176,-326.8636
cell104basal.abf,7,Non-burst,6.1678999999999995,-63.535328,2.3684807,-66.391,24.58,5.9919696,118.04962,-391.88184
cell104basal.abf,7,Non-burst,1.6663999999999994,-62.996296,2.7103586,-65.484,23.048,8.68106,180.83516,-104.98126
cell104basal.abf,8,Non-burst,0.9917,-64.0994,2.5486126,-65.922,35.15,16.245386,522.93994,-63.57228
cell104basal.abf,8,Burst,0.7101,-45.102867,9.148232,-56.384,35.15,4.984247,28.430145,-32.034954
cell104basal.abf,8,Burst,0.24370000000000047,-43.25036,10.888572,-55.821,37.496,4.2397184,19.438423,-10.547491
cell104basal.abf,8,Burst,1.2001999999999997,-46.53089,8.608946,-56.853,35.557,5.2453184,33.063812,-55.848988
cell104basal.abf,8,Burst,0.4435000000000002,-44.185165,9.724699,-56.29,36.088,4.621936,23.798105,-19.603523
cell104basal.abf,8,Burst,0.21110000000000007,-43.88237,10.771933,-55.915,33.649,4.1750283,18.963581,-9.270821
cell104basal.abf,8,Burst,0.14470000000000027,-42.372757,11.340685,-55.54,34.181,3.9409037,16.635443,-6.138402
cell104basal.abf,8,Burst,0.07859999999999978,-41.762127,12.444979,-55.915,34.243,3.692721,14.738979,-3.284966
cell104basal.abf,8,Burst,0.5196999999999985,-46.87359,8.656108,-55.289,34.806,5.2865334,33.578323,-24.363148
cell104basal.abf,8,Burst,0.3614999999999995,-43.82511,10.363533,-56.791,36.401,4.2941203,20.323606,-15.85009
cell104basal.abf,8,Burst,0.5473999999999997,-45.207363,9.64762,-56.509,36.901,4.5683036,24.528824,-24.754063
cell104basal.abf,8,Burst,0.14639999999999986,-43.063053,10.737727,-56.259,32.867,4.305239,20.3938,-6.306853
cell104basal.abf,8,Non-burst,2.3859,-62.189888,3.0529156,-66.422,37.496,7.863937,172.56471,-148.38809
cell104basal.abf,8,Non-burst,2.9769999999999994,-63.809345,2.8979292,-67.048,34.65,7.3393636,149.4447,-189.96332
cell104basal.abf,8,Non-burst,1.4121000000000006,-63.161823,3.6847296,-66.235,36.088,7.782551,144.4033,-89.20024
cell104basal.abf,8,Non-burst,0.9267000000000003,-60.869617,4.816122,-65.203,33.649,4.6675186,62.632668,-56.416824
cell104basal.abf,8,Non-burst,0.7858999999999998,-60.67975,4.733001,-65.109,34.181,5.4741898,76.638985,-47.697174
cell104basal.abf,8,Non-burst,0.7992999999999988,-59.368095,4.2325106,-63.42,22.36,5.0546765,70.900116,-47.45497
