Sweep,Start_Time_s,End_Time_s,Type
18,5.8764,8.8698,Parabolic
18,9.226700000000001,11.5921,Parabolic
18,11.996500000000001,12.184000000000001,Parabolic
18,12.5847,13.353100000000001,Parabolic
18,13.693900000000001,15.7506,Parabolic
18,16.1056,21.3631,Parabolic
19,0.0983,0.2852,Parabolic
19,0.6318,0.8826,Parabolic
19,1.2925,3.4631000000000003,Parabolic
19,4.3465,4.8087,Parabolic
19,5.1545000000000005,5.3653,Parabolic
19,8.1732,8.8901,Parabolic
19,9.2512,9.821100000000001,Parabolic
19,10.2042,10.7363,Parabolic
19,11.6087,12.9716,Parabolic
19,13.3627,13.5382,Parabolic
19,13.8603,14.3206,Parabolic
19,15.311100000000001,17.8638,Parabolic
19,18.3036,18.5208,Parabolic
19,19.1778,19.7023,Parabolic
19,20.293400000000002,21.356,Parabolic
20,0.1107,1.5696,Parabolic
20,1.9272,2.4418,Parabolic
20,2.7722,2.9666,Parabolic
20,3.2854,3.8922000000000003,Parabolic
20,4.629700000000001,5.1763,Parabolic
20,5.4965,5.646,Parabolic
20,6.0761,9.5996,Parabolic
20,11.047500000000001,11.215100000000001,Parabolic
20,11.684800000000001,12.105,Parabolic
20,12.4113,12.8724,Parabolic
20,13.189300000000001,14.9359,Parabolic
20,15.289000000000001,16.453,Parabolic
20,17.3974,18.3875,Parabolic
20,18.9432,19.2753,Parabolic
20,20.889,21.038800000000002,Parabolic
21,1.1792,1.2416,Parabolic
21,2.113,2.1966,Parabolic
21,3.8507000000000002,4.0952,Parabolic
21,5.2267,5.7715000000000005,Parabolic
21,6.083200000000001,6.9672,Parabolic
21,7.314500000000001,8.1552,Parabolic
21,8.486600000000001,9.587200000000001,Parabolic
21,11.1559,11.711300000000001,Parabolic
21,12.116800000000001,12.8011,Parabolic
21,13.1363,13.401100000000001,Parabolic
21,13.799900000000001,14.6159,Parabolic
21,15.049900000000001,15.302900000000001,Parabolic
21,16.055400000000002,16.5913,Parabolic
21,17.1658,17.3384,Parabolic
21,20.114900000000002,20.3139,Parabolic
22,0.9819,1.5502,Parabolic
22,1.8548,2.5619,Parabolic
22,4.382000000000001,4.6077,Parabolic
22,4.9154,5.280600000000001,Parabolic
22,7.3452,7.5076,Parabolic
22,7.999700000000001,8.475200000000001,Parabolic
22,8.9163,9.4025,Parabolic
22,11.003400000000001,11.167200000000001,Parabolic
22,11.5532,11.716000000000001,Parabolic
22,13.3619,14.134500000000001,Parabolic
22,15.550600000000001,15.717600000000001,Parabolic
23,0.2452,0.29860000000000003,Parabolic
23,3.3805,3.4659,Parabolic
23,6.1622,7.7643,Parabolic
23,8.142000000000001,8.2986,Parabolic
23,8.9318,10.2087,Parabolic
23,10.59,10.7789,Parabolic
23,13.7386,14.224,Parabolic
23,14.5747,15.4503,Parabolic
23,17.9464,18.035500000000003,Parabolic
23,18.4012,18.5689,Parabolic
23,20.9055,21.346500000000002,Parabolic
24,1.0084,3.0495,Parabolic
24,4.2238,5.857600000000001,Parabolic
24,6.2431,9.2767,Parabolic
24,10.8541,12.4147,Parabolic
24,12.7361,13.1934,Parabolic
24,15.4494,15.817200000000001,Parabolic
24,16.2471,16.6406,Parabolic
24,16.9526,17.115000000000002,Parabolic
24,20.558400000000002,20.963900000000002,Parabolic
25,12.6837,17.9054,Parabolic
26,0.3044,3.3123,Parabolic
26,6.3106,8.5579,Parabolic
26,10.3872,10.4473,Parabolic
26,12.3397,12.499600000000001,Parabolic
26,12.9771,13.0661,Parabolic
26,13.428500000000001,15.0401,Parabolic
26,15.4496,15.8289,Parabolic
26,17.112000000000002,17.1747,Parabolic
26,17.700300000000002,18.746100000000002,Parabolic
27,0.1206,0.38730000000000003,Parabolic
27,1.0683,1.2698,Parabolic
27,1.7943,6.1874,Parabolic
27,6.488,6.892200000000001,Parabolic
27,7.2087,11.294,Parabolic
27,13.186300000000001,13.3474,Parabolic
27,16.062,16.5856,Parabolic
27,16.8881,17.157500000000002,Parabolic
27,18.0147,19.072400000000002,Parabolic
27,19.4499,19.607400000000002,Parabolic
27,19.9388,20.9744,Parabolic
28,0.42850000000000005,0.7766000000000001,Parabolic
28,1.2908000000000002,5.1231,Parabolic
28,5.65,9.956800000000001,Parabolic
28,10.7559,11.5234,Parabolic
28,11.8336,13.667,Parabolic
28,13.995600000000001,14.915600000000001,Parabolic
28,15.5792,15.7492,Parabolic
