File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,6,Non-burst,Non-burst,0.4083,0,0.0,-62.673336,3.7360187,-65.641,38.09,8.478272,172.65915,-25.594456
cell104basal.abf,6,Burst,Other,0.9392999999999999,26,0.035616,-46.400772,9.162523,-57.353,38.09,4.99718,29.954052,-43.5869
cell104basal.abf,6,Burst,Other,1.1296999999999997,33,0.033118749999999995,-45.755245,9.090241,-56.916,38.684,5.247812,31.454597,-51.697437
cell104basal.abf,6,Burst,Other,0.2347999999999999,6,0.03236,-46.248737,9.344288,-56.04,34.618,5.4841638,33.794777,-10.86681
cell104basal.abf,6,Burst,Other,0.7163000000000004,22,0.03100952380952381,-45.51802,9.305444,-57.26,37.589,5.126683,29.585442,-32.61224
cell104basal.abf,6,Burst,Other,0.2237000000000009,6,0.01832,-45.88265,9.566563,-56.509,34.681,5.118861,30.052742,-10.271574
cell104basal.abf,6,Non-burst,Non-burst,9.5312,0,0.0,-63.459076,2.3037484,-66.798,38.684,5.753109,141.25436,-604.85065
cell104basal.abf,6,Non-burst,Non-burst,0.6742000000000008,0,0.0,-59.066814,4.174621,-63.577,34.618,7.351929,125.10188,-39.83171
cell104basal.abf,6,Non-burst,Non-burst,2.3576999999999995,0,0.0,-62.94467,2.7821438,-65.547,37.589,9.988693,242.00461,-148.41406
cell104basal.abf,6,Non-burst,Non-burst,0.9664999999999981,0,0.0,-59.53972,3.8932827,-64.108,32.336,6.049336,107.1943,-57.548008
cell104basal.abf,6,Non-burst,Non-burst,4.318200000000001,0,0.0,-63.60929,1.9642361,-66.454,26.081,9.524334,291.66162,-274.68207
cell104basal.abf,7,Non-burst,Non-burst,0.1502,0,0.0,-60.466187,5.128901,-64.921,37.589,7.293689,115.713684,-9.086712
cell104basal.abf,7,Burst,Other,1.1753999999999998,28,0.04174074074074074,-47.274067,8.73145,-56.259,37.589,5.1636996,32.950363,-55.569065
cell104basal.abf,7,Burst,Other,1.3525999999999998,28,0.04487407407407407,-47.13135,8.038238,-56.634,37.183,5.9029336,41.483234,-63.757774
cell104basal.abf,7,Burst,Other,0.37870000000000026,14,0.02223846153846154,-44.235027,9.983066,-56.134,36.808,4.5886216,23.40986,-16.759274
cell104basal.abf,7,Burst,Other,0.6871999999999989,23,0.02651818181818182,-45.16558,9.562037,-58.479,37.433,4.798556,26.189291,-31.04084
cell104basal.abf,7,Burst,Other,0.34380000000000166,16,0.019673333333333334,-42.982716,10.718569,-56.259,38.215,4.203442,19.11997,-14.78482
cell104basal.abf,7,Non-burst,Non-burst,2.3645000000000005,0,0.0,-61.963825,3.3788164,-66.641,37.183,5.00244,104.00179,-146.52281
cell104basal.abf,7,Non-burst,Non-burst,2.0163,0,0.0,-62.74483,3.041279,-66.204,36.808,9.007576,215.79308,-126.52184
cell104basal.abf,7,Non-burst,Non-burst,5.1969,0,0.0,-62.894085,2.8050873,-66.798,37.433,5.109655,100.95814,-326.86362
cell104basal.abf,7,Non-burst,Non-burst,6.1678999999999995,0,0.0,-63.53533,2.3684807,-66.391,24.58,5.991974,118.04966,-391.88187
cell104basal.abf,7,Non-burst,Non-burst,1.6663999999999994,0,0.0,-62.996296,2.7103586,-65.484,23.048,8.681061,180.83517,-104.981255
cell104basal.abf,8,Non-burst,Non-burst,0.9917,0,0.0,-64.09942,2.5486126,-65.922,35.15,16.245401,522.94037,-63.572285
cell104basal.abf,8,Burst,Other,0.7101,22,0.030419047619047616,-45.102867,9.148232,-56.384,35.15,4.984247,28.430145,-32.034954
cell104basal.abf,8,Burst,Other,0.24370000000000047,11,0.01966,-43.25036,10.888572,-55.821,37.496,4.2397184,19.438423,-10.547491
cell104basal.abf,8,Burst,Other,1.2001999999999997,30,0.03724827586206897,-46.53089,8.608946,-56.853,35.557,5.2453194,33.06382,-55.848988
cell104basal.abf,8,Burst,Other,0.4435000000000002,16,0.025833333333333333,-44.185165,9.724699,-56.29,36.088,4.621936,23.798105,-19.603523
cell104basal.abf,8,Burst,Other,0.21110000000000007,9,0.016425000000000002,-43.88237,10.771933,-55.915,33.649,4.1750283,18.963581,-9.270821
cell104basal.abf,8,Burst,Other,0.14470000000000027,7,0.014516666666666669,-42.372757,11.340685,-55.54,34.181,3.9409037,16.635443,-6.138402
cell104basal.abf,8,Burst,Other,0.07859999999999978,4,0.013433333333333334,-41.762127,12.444979,-55.915,34.243,3.692721,14.738979,-3.284966
