Sweep,Segment_Type,Start,End,Mean_ISI,Median_ISI,Std_ISI,Kurtosis,Skewness,CMA_Threshold,CMA_Valley_Index,CMA_Peak_Index
0,Non-burst,0.0,4.1492,,,,,,,,
0,Burst,4.1492,10.4632,0.052616666666666666,0.04339999999999966,0.030823985069350735,5.237184946741568,2.0330173484848633,0.039,6.0,13.0
0,Burst,16.7984,21.0475,0.05518311688311686,0.042099999999997806,0.037312730332026006,6.183146536137205,2.2620620835774794,0.036,6.0,12.0
0,Non-burst,10.4632,16.7984,2.1117333333333335,0.6821000000000002,2.166718213232989,-1.5,0.7024682041561027,0.0,1563.0,0.0
0,Non-burst,21.0475,21.4999,,,,,,,,
1,Non-burst,0.0,4.4975,,,,,,,,
1,Burst,4.4975,10.2546,0.053804672897196267,0.04070000000000018,0.035181192892001494,2.5948071617152584,1.6359161615370952,0.039,4.0,13.0
1,Burst,10.7976,11.1686,0.18550000000000022,0.18550000000000022,0.07599999999999962,-2.0,0.0,0.0,49.0,0.0
1,Burst,11.7434,12.1903,0.1117250000000003,0.08924999999999983,0.07201213005459563,-0.8963105396928408,0.8119488704853234,0.0,62.0,0.0
1,Burst,13.7539,15.7636,0.07177500000000002,0.06489999999999974,0.04228930652574687,4.043179328491178,1.5319363774215808,0.0,70.0,0.0
1,Burst,19.9399,21.4873,0.032923404255319144,0.03569999999999851,0.01049950784593225,0.771220456692312,-1.3209713086102146,0.036,4.0,12.0
1,Non-burst,10.2546,10.7976,0.5429999999999993,0.5429999999999993,0.0,,,0.0,0.0,0.0
1,Non-burst,11.1686,11.7434,0.5747999999999998,0.5747999999999998,0.0,,,0.0,0.0,0.0
1,Non-burst,12.1903,13.7539,0.7817999999999996,0.7817999999999996,0.44900000000000073,-2.0,0.0,0.0,297.0,0.0
1,Non-burst,15.7636,19.9399,2.0881500000000006,2.0881500000000006,1.7647500000000012,-2.0,0.0,0.0,1175.0,0.0
1,Non-burst,21.4873,21.4999,,,,,,,,
2,Non-burst,0.0,0.0157,,,,,,,,
2,Burst,0.0157,2.3242,0.07695,0.06059999999999999,0.03914988080015909,3.0282206719595193,1.9460687717897223,0.006,49.0,2.0
