File_Name,Sweep,Segment_Type,Duration,Num_Peaks,Mean_ISI,CV_ISI,First_Spike_Latency,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,4,Burst,0.03279999999999994,5,0.005399999999999999,0.13224867460264536,-5.8404,-37.58944,19.706104,-57.228,39.747,1.8847519,2.776401,-1.2355604,-869.3998,48487.56,-146449.0,164481.55,-0.21927653,2.4394202
cell104basal.abf,4,Burst,0.03329999999999966,5,0.005325,0.08118129796145823,-7.8379,-37.63968,19.795311,-57.666,40.935,1.9269718,3.0015888,-1.2560955,-814.3093,48238.31,-150112.81,165333.98,-0.16214481,2.5608182
cell104basal.abf,4,Burst,0.022800000000000153,3,0.005549999999999999,0.027027027027026865,-9.0452,-38.20471,20.471817,-57.541,38.872,1.9870057,3.128529,-0.877746,-799.2421,50483.023,-143045.39,160741.64,-0.09928608,2.3998165
cell104basal.abf,4,Burst,0.03719999999999857,6,0.00516,0.1633434690364763,-16.248,-36.97403,20.083042,-57.51,39.716,1.8410748,2.5954657,-1.3819144,-638.1964,48210.656,-149019.56,167392.89,-0.24289693,2.3147159
cell104basal.abf,4,Burst,0.021599999999999397,3,0.005200000000000001,0.01923076923076928,-19.0463,-37.368713,20.196684,-55.946,33.211,1.8292322,2.3753858,-0.81342626,-743.8289,48685.367,-134343.4,144138.23,-0.26012644,1.9142799
cell104basal.abf,4,Burst,0.011700000000001154,1,0.0,0.0,-20.1999,-37.726902,20.780117,-55.008,29.49,1.9054171,2.5628242,-0.44764483,-432.00266,48208.047,-124807.14,131978.88,-0.16526023,1.9128518
cell104basal.abf,4,Burst,0.012399999999999523,1,0.0,0.0,-21.0762,-37.798737,20.245375,-55.289,30.303,1.96251,2.874412,-0.4749672,-652.82605,46341.977,-122737.65,133571.62,-0.19732183,2.1031446
cell104basal.abf,4,Non-burst,1.4611,9,0.0342875,0.2979860293912879,-4.3762,-60.44604,9.619968,-67.423,31.523,2.759632,14.362299,-88.32007,21.61192,9946.172,-128284.586,387720.97,5.4067307,295.462
cell104basal.abf,4,Non-burst,1.9648000000000003,9,0.02985,0.4337711676433733,-5.871499999999999,-61.915337,8.476165,-68.83,27.051,3.2771432,19.00484,-121.65267,4.8483753,7955.264,-125831.336,301562.78,3.0768473,273.1924
cell104basal.abf,4,Non-burst,1.1743000000000006,10,0.0339,0.6225920558883267,-7.8697,-58.211452,10.345027,-67.861,38.872,2.3932853,12.151196,-68.36626,37.259132,11267.166,-133831.75,357908.4,4.058759,192.5062
cell104basal.abf,4,Non-burst,7.179,7,0.051616666666666665,0.7752513246097943,-9.0647,-65.535545,4.726946,-68.518,39.716,6.2114644,66.53405,-470.48914,5.6614976,4139.957,-138405.69,419701.2,20.31534,2400.7358
cell104basal.abf,4,Non-burst,2.761700000000001,19,0.15263888888888888,2.9890432805640623,-16.2827,-60.318325,9.945924,-68.142,40.154,2.6213722,13.370781,-166.5896,11.730016,9979.446,-172238.66,269280.3,1.1278776,152.39987
cell104basal.abf,4,Non-burst,1.1326,15,0.07988571428571427,1.9814061103881029,-19.066,-55.236088,10.957837,-67.298,37.589,2.36596,12.434469,-62.568256,21.939127,13710.364,-160872.23,246874.34,0.79097897,74.5513
cell104basal.abf,4,Non-burst,0.8646999999999991,7,0.14154999999999998,1.5834922135230287,-20.209400000000002,-58.754295,10.108612,-67.673,37.308,2.6996047,14.935707,-50.813225,26.461552,11527.763,-167647.55,248351.14,2.122279,128.0674
cell104basal.abf,4,Non-burst,0.40520000000000067,9,0.0494,0.8102471692883005,-21.0875,-46.93652,8.4999275,-56.071,27.801,5.4798903,36.03242,-19.021793,-184.11024,16745.756,-132704.55,149401.33,-0.44013235,36.298664
cell104basal.abf,5,Non-burst,11.0165,0,0.0,0.0,11.0165,-65.85357,2.2474446,-69.925,41.217,2.919662,59.390182,-725.4812,11.412163,1794.0695,-6161.9546,423226.72,179.39961,37242.42
cell104basal.abf,5,Burst,0.031200000000000117,5,0.0051,0.1247835496211554,-11.011600000000001,-37.10856,20.460901,-57.729,41.217,1.8644967,2.6691456,-1.1643028,-829.9954,50228.79,-153557.9,171271.05,-0.21875533,2.2471356
cell104basal.abf,5,Non-burst,10.4522,13,0.03813333333333333,0.5115410456702842,-11.040500000000002,-65.44685,4.921508,-68.611,27.739,6.268662,65.03809,-684.0677,-7.822361,4048.5232,-134689.06,146180.38,-1.347574,716.2419
cell104basal.abf,6,Non-burst,0.4083,0,0.0,0.0,0.4083,-62.673336,3.7360187,-65.641,38.09,8.478272,172.65915,-25.594456,305.25885,8375.778,-5912.124,384198.88,36.92241,1476.7183
cell104basal.abf,6,Burst,0.054400000000000004,7,0.006516666666666666,0.11221182081064095,-0.4021,-38.001274,17.495588,-57.353,38.09,2.1087747,3.9143457,-2.073618,-480.87592,39763.49,-140664.97,162428.9,-0.32192317,3.7524128
cell104basal.abf,6,Burst,0.058099999999999596,8,0.006157142857142857,0.17510869850685112,-10.8731,-37.780144,17.282495,-56.916,38.684,2.0476506,3.697855,-2.1972795,-584.20215,40310.37,-143487.11,162835.47,-0.28784364,3.6072726
cell104basal.abf,6,Burst,0.034399999999999764,2,0.012899999999999998,0.0,-12.6719,-42.278008,15.504495,-56.04,34.618,3.1638553,9.915091,-1.4613495,-322.5826,36181.574,-132686.72,153312.42,-0.060849894,7.1398582
cell104basal.abf,6,Burst,0.058099999999999596,7,0.006816666666666668,0.16713776196295943,-15.2676,-38.674458,16.901676,-57.26,37.589,2.2155004,4.480279,-2.2495093,-410.6494,38597.438,-140450.06,164944.56,-0.26382297,4.2453203
cell104basal.abf,6,Burst,0.03170000000000073,2,0.01,0.0,-16.9473,-41.332195,15.828885,-56.509,34.681,2.968901,8.689502,-1.3170954,-463.55994,37338.51,-135454.31,156950.81,-0.24439016,6.5054092
