File_Name,Sweep,Segment_Type,Start,End,Mean_ISI,Median_ISI,Std_ISI,Kurtosis,Skewness,CMA_Threshold,CMA_Valley_Index,CMA_Peak_Index
cell104basal.abf,0,Non-burst,0.0,3.201,0.0,0.0,0.0,1188.34033203125,22.097511291503906,0.0,0,0
cell104basal.abf,0,Burst,3.201,3.6653,0.023214999999999986,0.014449999999999852,0.02157223388988731,0.014728458284388957,1.0228151317595602,0.0,22,0
cell104basal.abf,0,Burst,14.7754,15.2605,0.022050000000000045,0.009949999999999903,0.025048711634442136,0.840271802255895,1.475973960825417,0.0,26,0
cell104basal.abf,0,Non-burst,3.6653,14.7754,0.0,0.0,0.0,321.96435546875,12.206907272338867,0.0,3694,0
cell104basal.abf,0,Non-burst,15.2605,21.4999,0.0,0.0,0.0,189.84217834472656,9.689574241638184,0.0,0,0
cell104basal.abf,1,Non-burst,0.0,21.4999,0.0,0.0,0.0,8.239495277404785,1.8774806261062622,0.0,0,0
cell104basal.abf,2,Non-burst,0.0,2.5475,0.0,0.0,0.0,1296.9002685546875,23.77322006225586,0.0,0,0
cell104basal.abf,2,Burst,2.5475,2.8114,0.01649375,0.005549999999999944,0.01607740917988655,-1.2217989898972959,0.7800046240692461,0.0,12,0
cell104basal.abf,2,Burst,14.7082,16.1316,0.03389047619047617,0.03110000000000035,0.025006816304319914,-0.2930037009480979,0.6215840818616709,0.0,27,0
cell104basal.abf,2,Burst,18.2702,18.6542,0.021333333333333353,0.015399999999999636,0.01860343456939531,0.4851960006010114,1.11097966714189,0.0,20,0
cell104basal.abf,2,Non-burst,2.8114,14.7082,0.0,0.0,0.0,438.8791198730469,13.133478164672852,0.0,3959,0
cell104basal.abf,2,Non-burst,16.1316,18.2702,0.0,0.0,0.0,100.26349639892578,6.237951755523682,0.0,704,0
cell104basal.abf,2,Non-burst,18.6542,21.4999,0.0,0.0,0.0,133.6479949951172,7.654435634613037,0.0,0,0
cell104basal.abf,3,Non-burst,0.0,0.0369,0.0,0.0,0.0,82.75482177734375,8.287862777709961,0.0,0,0
cell104basal.abf,3,Burst,0.0369,0.2348,0.06596666666666667,0.050699999999999995,0.04017929262139337,-1.5,0.5150891137782074,0.0,30,0
cell104basal.abf,3,Burst,4.518,5.2254,0.02829599999999999,0.019599999999999618,0.02862848204149151,3.769152775880576,1.8230915577799855,0.0,40,0
cell104basal.abf,3,Burst,12.9388,13.5029,0.025640909090909082,0.013699999999999157,0.034255187518109145,10.626091510427582,3.1927856041057425,0.0,53,0
cell104basal.abf,3,Burst,14.7802,15.2971,0.027205263157894722,0.02260000000000062,0.02434191692672518,2.06482320081913,1.3960517484613306,0.0,30,0
cell104basal.abf,3,Non-burst,0.2348,4.518,0.0,0.0,0.0,166.0526123046875,8.340899467468262,0.0,1418,0
cell104basal.abf,3,Non-burst,5.2254,12.9388,0.0,0.0,0.0,311.7734069824219,11.187483787536621,0.0,2561,0
cell104basal.abf,3,Non-burst,13.5029,14.7802,0.0,0.0,0.0,65.65760040283203,5.010261535644531,0.0,417,0
cell104basal.abf,3,Non-burst,15.2971,21.4999,0.0,0.0,0.0,201.52557373046875,9.033243179321289,0.0,0,0
cell104basal.abf,4,Non-burst,0.0,4.3429,0.0,0.0,0.0,797.8782958984375,15.580376625061035,0.0,0,0
cell104basal.abf,4,Burst,4.3429,4.6675,0.019094117647058838,0.008500000000000618,0.01597455589323723,-0.9581930901065614,0.6709450461055436,0.0,13,0
cell104basal.abf,4,Burst,5.8458,6.1245,0.01858000000000004,0.013099999999999667,0.015325455947540327,0.7636194325416552,1.14142258086112,0.0,16,0
cell104basal.abf,4,Burst,7.8434,8.1888,0.021587500000000037,0.014950000000000241,0.021111841315953495,2.7629582432925606,1.7392185435813485,0.0,25,0
cell104basal.abf,4,Burst,9.051,9.3926,0.031054545454545425,0.010299999999999088,0.03717035386718256,1.154893968743143,1.5480290525857356,0.0,38,0
cell104basal.abf,4,Burst,16.2528,17.014,0.03044799999999995,0.02389999999999759,0.027687442929963963,1.1953958987138407,1.3240337715916959,0.0,33,0
cell104basal.abf,4,Burst,19.0448,19.5526,0.026726315789473848,0.025300000000001432,0.02166733758461206,-0.5188669178312453,0.8018879455437051,0.0,20,0
cell104basal.abf,4,Burst,20.199,20.4351,0.026233333333332984,0.010600000000000165,0.02592604867695767,0.10064301394434283,1.1601814649460895,0.0,24,0
cell104basal.abf,4,Burst,21.0751,21.4971,0.035166666666666714,0.01929999999999943,0.03838392313919417,0.42959087361945514,1.3346993279516937,0.0,38,0
cell104basal.abf,4,Non-burst,4.6675,5.8458,0.0,0.0,0.0,71.2475814819336,5.299704074859619,0.0,385,0
cell104basal.abf,4,Non-burst,6.1245,7.8434,0.0,0.0,0.0,53.390647888183594,4.410749912261963,0.0,565,0
cell104basal.abf,4,Non-burst,8.1888,9.051,0.0,0.0,0.0,48.01400375366211,4.061161994934082,0.0,277,0
cell104basal.abf,4,Non-burst,9.3926,16.2528,0.0,0.0,0.0,386.6094665527344,12.096960067749023,0.0,2279,0
cell104basal.abf,4,Non-burst,17.014,19.0448,0.0,0.0,0.0,187.05589294433594,9.153288841247559,0.0,671,0
cell104basal.abf,4,Non-burst,19.5526,20.199,0.0,0.0,0.0,90.91790008544922,6.269417762756348,0.0,208,0
cell104basal.abf,4,Non-burst,20.4351,21.0751,0.0,0.0,0.0,59.439964294433594,4.869884014129639,0.0,207,0
cell104basal.abf,4,Non-burst,21.4971,21.4999,0.0,0.0,0.0,1.0192875862121582,1.5905835628509521,0.0,0,0
