File_Name,Sweep,Segment_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,0,Non-burst,3.201,-69.086716,1.5485575,-70.738,40.247,22.09753,1188.3406,-221.15202,34.124958,3990.4019,-10630.036,381210.03,34.432064,2938.7288
cell104basal.abf,0,Burst,0.4642999999999997,-44.246635,10.609624,-55.258,40.247,4.24694,20.044142,-20.546345,-59.890106,22785.904,-163554.53,236104.0,1.6097623,28.02798
cell104basal.abf,0,Burst,0.485100000000001,-45.21416,11.253597,-54.476,39.903,3.9016275,17.23568,-21.940893,-41.515114,23562.69,-175440.02,249871.02,1.4582908,27.038786
cell104basal.abf,0,Non-burst,11.1101,-68.98395,1.896375,-70.832,36.651,12.206904,321.96432,-766.4214,1.4805586,3429.9595,-103509.0,455949.03,22.568289,2961.7441
cell104basal.abf,0,Non-burst,6.2394,-68.620674,2.2275066,-70.488,19.764,9.689576,189.84224,-428.15622,-14.284385,3122.0752,-110390.0,10950.013,-2.5434976,76.71268
cell104basal.abf,1,Non-burst,21.4999,-69.519295,0.66499096,-71.238,-64.327,1.8774806,8.239497,-1494.6581,-0.027628064,2992.537,-10629.959,11879.959,0.064011306,-0.36007977
cell104basal.abf,2,Non-burst,2.5475,-69.81433,1.4349338,-71.363,34.775,23.77325,1296.9016,-177.85028,40.71995,4375.0884,-10000.0,455640.03,48.74544,4792.78
cell104basal.abf,2,Burst,0.2639,-42.913868,11.58632,-56.196,40.185,3.7744682,15.173887,-11.327646,-101.71342,27180.762,-192639.0,257680.0,0.8494273,20.056805
cell104basal.abf,2,Burst,1.423399999999999,-46.099648,9.231603,-57.135,41.905,5.116728,30.783775,-65.62115,-18.060844,20676.555,-188257.2,283642.0,1.5407412,40.03883
cell104basal.abf,2,Burst,0.38400000000000034,-44.11727,10.995909,-56.134,40.654,4.2314224,19.661379,-16.948643,-45.117188,25162.523,-171380.02,224538.0,0.9755638,22.662384
cell104basal.abf,2,Non-burst,11.896799999999999,-69.46412,1.5888817,-72.02,22.86,13.133475,438.87906,-826.40234,-1.2696383,3246.53,-122275.0,293645.0,6.4562607,711.4912
