File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv,UMAP1,UMAP2
cell107basal.abf,6,Burst,Parabolic,0.7558999999999996,2,0.2508,-53.626545,6.465509,-67.892,32.117,4.094928,49.03378,-40.54472,-4.1367908,9648.744,-104138.01,333050.0,15.86356,542.0971,9.019903,2.6039643
cell107basal.abf,6,Burst,Parabolic,0.922699999999999,3,0.24994999999999998,-53.00426,6.433755,-67.955,31.147,3.6894622,43.229053,-48.908867,-27.65879,9414.29,-94450.016,319920.0,15.024204,506.47522,8.982164,2.597088
cell107basal.abf,6,Burst,Parabolic,0.6806000000000019,2,0.2262,-51.543304,6.065357,-64.609,28.52,4.496707,52.268017,-35.088295,-2.5272002,9418.116,-84122.01,307410.03,14.633427,447.5756,9.023748,2.4758785
cell107basal.abf,6,Non-burst,Non-burst,2.2977000000000007,5,0.30495,-53.047394,5.2560215,-67.517,32.711,4.6692553,69.18134,-121.89541,0.93876487,8121.9014,-94751.01,357450.03,20.002901,834.3835,9.005378,2.6459384
cell107basal.abf,6,Non-burst,Non-burst,2.1683000000000003,5,0.36110000000000003,-53.10699,5.365642,-68.017,31.773,4.4449997,65.37982,-115.1602,1.0095409,8203.441,-100080.0,348060.0,18.441519,716.13275,8.958843,2.6350968
cell107basal.abf,6,Non-burst,Non-burst,4.1646,10,0.3596888888888889,-52.645424,5.0377793,-67.079,31.085,4.980975,75.080185,-219.2498,-1.2839491,7953.261,-98194.0,361190.0,19.054691,776.8526,8.995347,2.7689211
cell107basal.abf,6,Non-burst,Non-burst,5.222999999999999,10,0.48593333333333333,-52.16081,4.40923,-67.423,30.647,5.3334455,90.29182,-272.4399,-14.9804735,7003.8257,-90379.99,352440.0,22.720549,1132.5236,9.065497,2.877537
cell107basal.abf,7,Non-burst,Non-burst,1.212,3,0.24695,-52.232468,5.042948,-66.016,28.677,4.88406,71.96911,-63.30948,69.976074,8225.382,-91315.7,319607.0,18.93023,662.50476,8.986763,2.5741425
cell107basal.abf,7,Burst,Other,0.7178,2,0.22810000000000002,-51.628834,6.1282506,-65.015,27.551,3.7677088,43.893208,-37.061737,-5.098222,9229.113,-84435.72,327730.0,16.739786,571.3296,8.982065,2.5361657
cell107basal.abf,8,Burst,Other,0.5428999999999995,2,0.21230000000000002,-52.181515,6.6559324,-66.297,28.645,4.166357,44.681664,-28.33733,-3.6286724,10438.9,-84748.0,311470.03,13.72117,389.29236,8.979609,2.5572438
