Burst_Number,Start_Time_s,End_Time_s,Type
1,76.52000000000001,77.4671,Square Wave
2,104.7433,107.47760000000001,Square Wave
3,191.0791,193.4927,Square Wave
4,207.60070000000002,212.0541,Square Wave
5,322.6933,322.8075,Square Wave
6,323.11510000000004,323.24350000000004,Square Wave
7,323.5641,323.6451,Square Wave
8,323.9841,324.074,Square Wave
9,324.433,324.5102,Square Wave
10,324.9029,324.9909,Square Wave
