UMAP1,UMAP2,Burst_Type
7.489438,13.477993,Parabolic
6.914407,7.4852166,Non-burst
6.7082024,7.806479,Non-burst
7.316883,7.4584436,Non-burst
7.0764484,7.22958,Non-burst
6.494807,8.715459,Non-burst
7.4875,5.6834626,Non-burst
7.4230833,7.524189,Non-burst
6.862601,13.089919,Parabolic
5.7420025,7.9782515,Parabolic
6.6040382,12.838988,Parabolic
7.162521,13.070862,Parabolic
6.294479,12.395425,Parabolic
5.6977615,7.8940263,Non-burst
9.327619,5.4493203,Non-burst
7.163594,7.253553,Non-burst
7.6464334,13.494391,Non-burst
7.517095,13.069136,Non-burst
8.866614,0.34842506,Non-burst
3.2205,8.212206,Other
7.7529693,2.4984164,Non-burst
8.728546,1.16481,Non-burst
5.9574823,12.809569,Square Wave
5.1089225,9.819787,Parabolic
5.9524302,9.082129,Square Wave
6.6959596,8.134293,Square Wave
6.208838,12.807217,Square Wave
12.9120455,0.59520715,Non-burst
12.938705,0.6579261,Non-burst
12.014749,0.2968682,Non-burst
12.64914,0.5114949,Non-burst
7.967409,3.0205605,Non-burst
8.726162,1.1774739,Non-burst
4.8475494,9.556853,Parabolic
6.648949,13.052475,Square Wave
6.121396,12.780117,Square Wave
6.0787315,12.965377,Square Wave
11.398518,4.8125715,Non-burst
12.168516,0.45425457,Non-burst
11.068863,0.5812683,Non-burst
8.497145,3.5523837,Non-burst
7.896552,2.384433,Non-burst
4.9508696,9.476644,Other
8.3523245,3.6809947,Non-burst
8.699641,1.1512443,Non-burst
6.0493193,12.964117,Square Wave
5.7742,9.219468,Square Wave
5.7186065,12.429374,Square Wave
12.645682,0.48791218,Non-burst
11.488657,0.4429786,Non-burst
7.8382063,2.7012413,Non-burst
8.8364725,1.2386676,Non-burst
6.16213,12.718949,Square Wave
4.978791,9.699627,Square Wave
6.0918818,12.726454,Square Wave
6.243514,13.077507,Square Wave
11.165581,0.48988873,Non-burst
12.283258,0.43224317,Non-burst
13.454448,3.0043879,Non-burst
8.089691,3.9445252,Non-burst
9.030818,0.88366306,Non-burst
6.820526,7.808614,Other
7.74448,2.543493,Non-burst
8.88277,1.3088192,Non-burst
5.944002,12.896524,Parabolic
6.015736,13.09325,Parabolic
4.947255,9.652734,Parabolic
6.74172,7.838103,Parabolic
7.305076,7.0285106,Parabolic
5.8370357,8.615398,Parabolic
5.43324,8.500464,Parabolic
11.359046,4.805669,Non-burst
6.298834,8.8082695,Non-burst
6.193585,8.5899725,Non-burst
7.5083876,6.777991,Non-burst
6.270324,9.075795,Non-burst
7.265368,7.0424786,Non-burst
7.229922,7.3218317,Non-burst
7.6964645,7.699156,Non-burst
5.954586,12.600344,Parabolic
5.9758887,8.658772,Parabolic
5.167347,12.904937,Parabolic
7.5165787,7.5914927,Parabolic
5.0293536,12.811426,Parabolic
5.0041504,12.815906,Parabolic
4.8660774,12.738836,Parabolic
7.388105,6.7464843,Non-burst
7.388082,6.9012327,Non-burst
7.463308,7.5818505,Non-burst
7.1553235,7.6656847,Non-burst
7.4896717,7.599576,Non-burst
7.4933624,7.5785894,Non-burst
7.6433673,5.5156336,Non-burst
7.730853,2.932437,Non-burst
7.7716956,2.4360392,Non-burst
7.81816,2.4832141,Non-burst
7.8080363,2.6676888,Non-burst
7.943003,2.5382304,Non-burst
7.72148,2.5112917,Non-burst
7.7232947,2.5363548,Non-burst
8.459935,2.1035671,Non-burst
7.837838,2.6076303,Non-burst
8.8035555,1.9169208,Non-burst
6.247725,11.131657,Other
8.236789,3.3895297,Non-burst
10.979599,0.6169609,Non-burst
12.083686,0.79409903,Parabolic
6.239094,11.107816,Parabolic
11.5026455,-0.058279417,Non-burst
7.9546733,3.0947163,Non-burst
8.6662445,1.1136475,Non-burst
6.2669525,11.0759535,Other
7.9640346,2.6644616,Non-burst
7.8180094,2.7957962,Non-burst
7.8945017,3.100348,Non-burst
12.309945,1.1169695,Parabolic
6.2550306,11.089506,Parabolic
11.370284,0.71110284,Non-burst
8.155813,3.3824048,Non-burst
10.927604,0.71509725,Non-burst
12.311962,1.0481933,Parabolic
12.212667,0.9698053,Parabolic
11.264729,0.50340694,Non-burst
8.143398,3.3848128,Non-burst
8.8277645,1.8636119,Non-burst
6.2714624,10.951584,Other
8.093698,3.1892476,Non-burst
8.886472,1.395084,Non-burst
12.216819,0.97957504,Other
8.070528,2.320525,Non-burst
7.7842903,2.3989384,Non-burst
7.942446,2.4690366,Non-burst
7.936215,2.932959,Non-burst
7.985578,2.8378153,Non-burst
