UMAP1,UMAP2,Burst_Type
12.771613,0.2834885,Non-burst
11.681341,1.0100094,Non-burst
8.415871,3.681244,Non-burst
8.883448,0.3565903,Non-burst
-2.8820653,3.2230318,Square Wave
-2.9720001,3.6091104,Square Wave
-2.748166,3.7884147,Square Wave
-2.9258466,3.700155,Square Wave
12.788715,4.859899,Parabolic
-2.026537,3.970034,Square Wave
2.7769897,7.987133,Square Wave
2.6975749,8.011982,Square Wave
-1.8651564,3.9846604,Square Wave
2.7145169,8.000196,Square Wave
-2.7586577,3.8087382,Square Wave
-2.9275367,3.1111836,Square Wave
3.5101428,8.847997,Square Wave
-3.0654433,3.4916646,Square Wave
-2.7538497,3.8458765,Square Wave
-2.920087,3.144313,Square Wave
-2.9946575,3.267791,Square Wave
2.6388178,7.52276,Square Wave
11.9616785,-0.44991514,Non-burst
11.517977,0.85049266,Non-burst
11.730131,1.0422283,Non-burst
12.070657,0.042148475,Non-burst
12.0767765,-0.3585217,Non-burst
12.242812,0.74843687,Non-burst
11.101284,-0.029776135,Non-burst
11.284983,0.0829266,Non-burst
12.926968,0.2855631,Non-burst
10.951885,0.17103262,Non-burst
12.9530945,0.29138324,Non-burst
12.828491,0.19104001,Non-burst
12.854506,0.08726308,Non-burst
11.339301,0.3439566,Non-burst
12.888203,0.22552513,Non-burst
12.724508,0.24213603,Non-burst
12.4768915,0.015628789,Non-burst
8.372637,3.7165437,Non-burst
8.740047,1.1243603,Non-burst
-2.866992,3.7324436,Square Wave
2.5265253,8.034965,Square Wave
-3.0732665,3.6993654,Square Wave
-2.8972478,3.7226071,Square Wave
2.6264055,7.5784826,Square Wave
-2.7385325,3.860583,Square Wave
-3.098765,3.6512702,Square Wave
-0.82869226,3.8813643,Square Wave
-0.95036536,3.8936255,Square Wave
-2.873967,3.4258003,Square Wave
2.6180508,7.5757823,Square Wave
-3.0743775,3.6797106,Square Wave
11.726538,-0.2038265,Non-burst
12.344482,0.074081264,Non-burst
11.614589,1.0171769,Non-burst
10.978003,0.123056866,Non-burst
12.000146,0.43974638,Non-burst
12.602977,0.10173002,Non-burst
12.002457,0.43782994,Non-burst
11.008639,0.101887316,Non-burst
12.719065,0.14845176,Non-burst
10.986268,0.108735375,Non-burst
11.94473,0.40137663,Non-burst
7.9151163,4.354577,Non-burst
8.735216,1.0400677,Non-burst
2.5304513,8.096474,Square Wave
4.1810555,8.805909,Square Wave
2.6419747,7.6227617,Square Wave
-2.8452737,3.7421303,Square Wave
-2.5688362,3.8742414,Square Wave
2.617215,7.589738,Square Wave
2.5762389,7.549248,Square Wave
-0.80013514,3.9282076,Square Wave
