spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
1,41492,4.1492,inf,0.0,0.5301895140721171,0.09950576184492092,0.43068375222719624,47.75299835205078,113.26899719238281
2,41545,4.1545,188.67924528301887,0.0053,0.5351729540823726,0.19807680942321895,0.33709614465915366,41.46699905395508,100.50899887084961
3,41605,4.1605,166.66666666666666,0.006,0.5535854839930835,0.19461479284218514,0.35897069115089836,40.96699905395508,98.79000091552734
4,41672,4.1672,149.2537313432836,0.0067,0.578264133396442,0.18591333438744187,0.39235079900900016,41.62300109863281,100.82200241088867
5,41757,4.1757,117.6470588235294,0.0085,0.5958006692068011,0.20436326123744947,0.3914374079693516,40.02899932861328,97.35099792480469
6,41859,4.1859,98.0392156862745,0.0102,0.609552299472125,0.18929369401666918,0.42025860545545585,40.65399932861328,98.13299942016602
7,42008,4.2008,67.11409395973155,0.0149,0.5989473231646116,0.20382827973371603,0.39511904343089554,40.810001373291016,98.03800201416016
8,42206,4.2206,50.5050505050505,0.0198,0.6039168503419206,0.19264650778495707,0.41127034255696343,41.02899932861328,98.66399765014648
9,42470,4.247,37.87878787878788,0.0264,0.6083621897116245,0.18150665620196377,0.42685553350966077,41.404998779296875,99.72800064086914
10,43323,4.3323,11.723329425556859,0.0853,0.6052290199761046,0.17684329235125915,0.42838572762484545,42.59299850463867,103.60499954223633
11,43689,4.3689,27.3224043715847,0.0366,0.5995970915260841,0.18781132623334998,0.41178576529273414,42.654998779296875,103.91699981689453
12,44016,4.4016,30.581039755351682,0.0327,0.6221900484146318,0.18511631443179793,0.4370737339828338,41.874000549316406,102.79199981689453
13,44293,4.4293,36.101083032490976,0.0277,0.6241359414700127,0.15648022291061353,0.46765571855939925,40.87300109863281,100.88500213623047
14,44621,4.4621,30.487804878048777,0.0328,0.6182009079595445,0.20354333198920357,0.414657575970341,41.62300109863281,101.79100036621094
15,44985,4.4985,27.47252747252747,0.0364,0.6210913733877532,0.18551520342589356,0.4355761699618597,41.49800109863281,101.66600036621094
16,45362,4.5362,26.525198938992045,0.0377,0.6393763740299618,0.16419224587079953,0.47518412815916233,40.52899932861328,100.50899887084961
17,45708,4.5708,28.901734104046245,0.0346,0.6422181747315335,0.1584295978092996,0.4837885769222339,40.49800109863281,100.51000213623047
18,46062,4.6062,28.248587570621467,0.0354,0.6207416051169276,0.2205130806294619,0.4002285244874656,41.68600082397461,102.07300186157227
19,46454,4.6454,25.510204081632654,0.0392,0.6316411517713277,0.21276382909127278,0.41887732268005495,41.404998779296875,101.6349983215332
20,46762,4.6762,32.467532467532465,0.0308,0.6439918638112431,0.168991107835609,0.47500075597563407,40.84199905395508,100.4469985961914
21,47100,4.71,29.58579881656805,0.0338,0.6286468666046858,0.2083866683584347,0.4202601982462511,41.37300109863281,101.35300064086914
22,47447,4.7447,28.81844380403458,0.0347,0.6469539935220382,0.2397454418358393,0.4072085516861989,40.65399932861328,100.3219985961914
23,47817,4.7817,27.027027027027028,0.037,0.6281202384016069,0.20834752132213907,0.41977271707946784,41.49800109863281,101.10300064086914
24,48119,4.8119,33.11258278145695,0.0302,0.627884092093882,0.1860473617394746,0.44183673035440735,41.31100082397461,100.85400009155273
25,48458,4.8458,29.498525073746315,0.0339,0.6475317542441189,0.16825631286992576,0.4792754413741932,40.935001373291016,100.35200119018555
26,48820,4.882,27.62430939226519,0.0362,0.6299967492144788,0.19404977844606036,0.4359469707684184,41.749000549316406,102.29199981689453
